sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
948;SDS011;461;51.436;7.312;2022-11-10T14:38:00;5.10;;;2.60;;
948;SDS011;461;51.436;7.312;2022-11-10T14:40:27;2.90;;;1.77;;
948;SDS011;461;51.436;7.312;2022-11-10T14:42:53;6.00;;;2.50;;
948;SDS011;461;51.436;7.312;2022-11-10T14:53:02;4.80;;;1.80;;
948;SDS011;461;51.436;7.312;2022-11-10T14:55:29;4.10;;;2.30;;
948;SDS011;461;51.436;7.312;2022-11-10T14:57:59;7.00;;;2.27;;
948;SDS011;461;51.436;7.312;2022-11-10T15:00:32;6.47;;;2.27;;
948;SDS011;461;51.436;7.312;2022-11-10T15:03:34;3.00;;;1.70;;
948;SDS011;461;51.436;7.312;2022-11-10T15:06:23;4.50;;;2.73;;
948;SDS011;461;51.436;7.312;2022-11-10T15:08:52;6.23;;;1.93;;
948;SDS011;461;51.436;7.312;2022-11-10T15:11:32;5.60;;;1.80;;
948;SDS011;461;51.436;7.312;2022-11-10T15:13:58;5.27;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T15:18:51;5.07;;;2.13;;
948;SDS011;461;51.436;7.312;2022-11-10T15:21:19;4.77;;;2.07;;
948;SDS011;461;51.436;7.312;2022-11-10T15:23:51;6.97;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T15:26:27;4.13;;;1.63;;
948;SDS011;461;51.436;7.312;2022-11-10T15:29:02;6.40;;;2.00;;
948;SDS011;461;51.436;7.312;2022-11-10T15:31:29;2.43;;;1.53;;
948;SDS011;461;51.436;7.312;2022-11-10T15:33:57;3.97;;;1.93;;
948;SDS011;461;51.436;7.312;2022-11-10T15:41:28;6.37;;;2.30;;
948;SDS011;461;51.436;7.312;2022-11-10T15:43:55;8.43;;;3.30;;
948;SDS011;461;51.436;7.312;2022-11-10T15:46:23;7.60;;;2.03;;
948;SDS011;461;51.436;7.312;2022-11-10T15:48:50;3.50;;;2.10;;
948;SDS011;461;51.436;7.312;2022-11-10T15:51:17;4.50;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T15:53:47;5.20;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T15:56:15;4.20;;;1.87;;
948;SDS011;461;51.436;7.312;2022-11-10T15:58:45;5.73;;;2.40;;
948;SDS011;461;51.436;7.312;2022-11-10T16:01:12;3.60;;;2.00;;
948;SDS011;461;51.436;7.312;2022-11-10T16:03:38;6.30;;;2.00;;
948;SDS011;461;51.436;7.312;2022-11-10T16:06:04;4.77;;;2.10;;
948;SDS011;461;51.436;7.312;2022-11-10T16:08:31;4.53;;;2.13;;
948;SDS011;461;51.436;7.312;2022-11-10T16:10:58;6.53;;;2.33;;
948;SDS011;461;51.436;7.312;2022-11-10T19:05:05;8.87;;;3.53;;
948;SDS011;461;51.436;7.312;2022-11-10T19:07:40;4.90;;;3.30;;
948;SDS011;461;51.436;7.312;2022-11-10T19:10:18;7.23;;;3.33;;
948;SDS011;461;51.436;7.312;2022-11-10T19:13:08;6.60;;;3.83;;
948;SDS011;461;51.436;7.312;2022-11-10T19:16:13;5.40;;;3.50;;
